x_centre,y_centre,density
5.05,5.03,0.1957
5.05,15.03,0.2097
5.05,25.03,0.1591
5.05,35.03,0.1905
5.05,45.03,0.102
5.05,55.03,0.3077
5.05,65.03,0.2444
5.05,75.03,0.1379
5.05,85.03,0.1538
5.05,95.03,0.1818
15.05,5.03,0.2857
15.05,15.03,0.1923
15.05,25.03,0.1754
15.05,35.03,0.0714
15.05,45.03,0.1136
15.05,55.03,0.2632
15.05,65.03,0.1944
15.05,75.03,0.1739
15.05,85.03,0.1277
15.05,95.03,0.1698
25.05,5.03,0.2264
25.05,15.03,0.1698
25.05,25.03,0.2174
25.05,35.03,0.2414
25.05,45.03,0.1296
25.05,55.03,0.1373
25.05,65.03,0.1111
25.05,75.03,0.1404
25.05,85.03,0.18
25.05,95.03,0.15
35.05,5.03,0.2778
35.05,15.03,0.2
35.05,25.03,0.1053
35.05,35.03,0.2222
35.05,45.03,0.1714
35.05,55.03,0.1071
35.05,65.03,0.0833
35.05,75.03,0.1429
35.05,85.03,0.1579
35.05,95.03,0.1379
45.05,5.03,0.2203
45.05,15.03,0.0781
45.05,25.03,0.098
45.05,35.03,0.1
45.05,45.03,0.1875
45.05,55.03,0.1556
45.05,65.03,0.0345
45.05,75.03,0.1607
45.05,85.03,0.1136
45.05,95.03,0.2
55.05,5.03,0.1356
55.05,15.03,0.075
55.05,25.03,0.1636
55.05,35.03,0.1321
55.05,45.03,0.1698
55.05,55.03,0.1923
55.05,65.03,0.2642
55.05,75.03,0.1633
55.05,85.03,0.1765
55.05,95.03,0.2105
65.05,5.03,0.2826
65.05,15.03,0.0816
65.05,25.03,0.0882
65.05,35.03,0.1429
65.05,45.03,0.1429
65.05,55.03,0.1509
65.05,65.03,0.1522
65.05,75.03,0.1395
65.05,85.03,0.2128
65.05,95.03,0.2031
75.05,5.03,0.1569
75.05,15.03,0.0638
75.05,25.03,0.2115
75.05,35.03,0.1458
75.05,45.03,0.1136
75.05,55.03,0.2157
75.05,65.03,0.1538
75.05,75.03,0.1795
75.05,85.03,0.125
75.05,95.03,0.125
85.05,5.03,0.2453
85.05,15.03,0.225
85.05,25.03,0.125
85.05,35.03,0.1064
85.05,45.03,0.1429
85.05,55.03,0.1481
85.05,65.03,0.1618
85.05,75.03,0.25
85.05,85.03,0.22
85.05,95.03,0.1875
95.05,5.03,0.1463
95.05,15.03,0.2174
95.05,25.03,0.386
95.05,35.03,0.1702
95.05,45.03,0.2593
95.05,55.03,0.1754
95.05,65.03,0.1739
95.05,75.03,0.1875
95.05,85.03,0.1373
95.05,95.03,0.1364
